id,x,y,z,vx,vy,vz
0,49.711838,-19.677907,10.035215,9.115438,-3.608250,1.840113
1,59.811449,58.683214,-47.664821,12.117944,11.889361,-9.657008
2,13.405075,-18.102784,-27.473873,3.141866,-4.242909,-6.439293
3,-28.094858,10.625849,-0.074369,-5.368433,2.030413,-0.014211
4,-180.813388,-209.630213,127.875424,-32.151385,-37.275457,22.738206
5,24.535719,1.236150,-194.947450,5.125241,0.258218,-40.722374
6,-16.455476,-23.078917,8.149371,-3.420467,-4.797228,1.693944
7,-4.306009,15.844651,4.894833,-0.860074,3.164780,0.977684
8,-94.229995,-32.932443,22.363666,-19.266676,-6.733511,4.572573
9,153.332435,-97.270631,36.164330,28.120488,-17.839002,6.632378
10,330.930194,-57.221821,270.881492,68.489479,-11.842657,56.061769
11,27.794982,-15.937398,-15.962392,5.609153,-3.216239,-3.221283
12,1677.508214,-2534.491212,345.151612,370.838596,-560.287666,76.300991
13,-54.732238,58.860707,42.215981,-14.453642,15.543885,11.148360
14,50.886032,-19.660005,-10.637658,10.662403,-4.119458,-2.228961
15,-2.064422,28.302832,-3.807361,-0.417332,5.721538,-0.769674
16,29.730449,-0.517845,67.741741,5.811283,-0.101221,13.241188
17,-10.639747,-6.545481,48.957218,-2.264233,-1.392937,10.418532
18,-10.705753,-37.568306,-26.483604,-2.299693,-8.070012,-5.688918
19,-17.920719,-16.708732,-10.632807,-5.296674,-4.938457,-3.142648
20,5717.766922,-3325.950168,583.260212,975.687425,-567.544603,99.528306
21,-23.207281,-8.974266,-34.020816,-5.194706,-2.008795,-7.615203
22,4.144518,-41.315649,32.234230,0.998616,-9.954947,7.766792
23,470.648032,-294.941600,-107.953813,95.060150,-59.571465,-21.804204
24,-3.368498,-46.651774,-32.153974,-0.694936,-9.624463,-6.633504
25,-3949.557885,822.038331,-354.026346,-762.877046,158.780854,-68.381976
26,-283.922261,-114.627853,-36.285424,-62.366054,-25.179029,-7.970417
27,67.477136,251.618910,75.652486,13.547194,50.516817,15.188536
28,21.209162,-36.052530,25.334274,4.361404,-7.413760,5.209682
29,-134.915094,-54.505267,25.144267,-25.242682,-10.197963,4.704505
30,-12913.518190,2542.716133,1049.067820,-2388.437448,470.291546,194.031776
31,-109.727309,4.774030,-0.622145,-22.031330,0.958542,-0.124916
32,3.049726,26.397144,-36.625333,0.678335,5.871382,-8.146386
33,-12.349783,-19.471128,-15.170306,-2.310512,-3.642840,-2.838202
34,4.975616,0.968095,7.807612,1.064860,0.207188,1.670952
35,11.326257,15.098322,-3.013979,2.648229,3.530188,-0.704708
36,30.827192,-36.009242,13.921932,7.478494,-8.735629,3.377378
37,-54.706249,-7.532987,75.065439,-11.827781,-1.628672,16.229545
38,-97.389166,63.557123,39.049066,-21.531091,14.051401,8.633086
39,9.015486,-11.412282,-5.866055,1.987810,-2.516276,-1.293397
40,-12.265680,-21.650855,-15.107020,-2.689717,-4.747774,-3.312789
41,-5.450258,11.481254,19.161816,-1.053753,2.219786,3.704746
42,79.618995,-76.105495,206.097180,16.580125,-15.848462,42.918363
43,-999.870462,-397.269267,203.306481,-208.208433,-82.725528,42.335608
44,-16.015263,9.636239,14.794958,-3.460884,2.082383,3.197177
45,35.590807,-48.104233,31.168280,9.608386,-12.986614,8.414445
46,-558.326031,208.978926,-1501.445289,-121.470874,45.466002,-326.658370
47,-142.342186,-169.554030,-20.213505,-34.889358,-41.559227,-4.954513
48,278.571384,112.037100,-153.250684,58.915938,23.695079,-32.411469
49,106.021044,-15.557500,67.294662,20.784539,-3.049918,13.192556
50,-68.551654,-24.240649,35.301461,-15.453439,-5.464513,7.957926
51,211.103872,-148.849964,-152.243931,47.429078,-33.442383,-34.204912
52,-17.554852,-27.808396,-10.644334,-3.756260,-5.950238,-2.277597
53,-7.900121,34.463209,-22.913864,-1.464650,6.389336,-4.248135
54,-11.734030,-10.119167,-12.807592,-3.603330,-3.107432,-3.933003
55,-38.626847,-5.468804,5.908006,-6.940115,-0.982584,1.061496
56,-78.537940,-95.169781,-18.784275,-19.119211,-23.168053,-4.572828
57,266.717790,352.313724,-739.703701,52.594265,69.472987,-145.862683
58,-2.636204,2.178051,-1.245773,-0.266175,0.219916,-0.125785
59,35.542619,33.319221,23.728899,7.199397,6.749033,4.806448
60,67.506200,-3.473468,187.237704,12.593963,-0.648011,34.931085
61,-18.912570,5.001605,41.817359,-4.062477,1.074360,8.982496
62,-54.129276,91.318964,-9.670674,-9.363788,15.797208,-1.672924
63,-19.292577,17.469428,-46.351215,-3.792284,3.433913,-9.111120
64,365.647026,-263.868508,415.102504,81.618081,-58.899539,92.657309
65,13.761055,-11.014535,41.900241,2.704862,-2.165008,8.235879
66,-13.942630,-20.544690,-22.088728,-3.920854,-5.777441,-6.211645
67,-97.593085,-32.685778,-110.201877,-22.811321,-7.639945,-25.758489
68,-187.846134,-181.067270,383.498532,-44.051169,-42.461481,89.932960
69,7.498204,27.001539,20.443988,1.302280,4.689599,3.550690
70,43.700138,-27.370667,-0.972950,9.127905,-5.717072,-0.203226
71,18.761412,15.181137,-15.036534,3.199370,2.588828,-2.564169
72,4864.760694,7754.024975,1791.315944,768.869026,1225.513444,283.115128
73,-908.647590,237.963240,916.674140,-247.093385,64.710613,249.276087
74,124.263964,109.941686,-43.665281,28.948203,25.611723,-10.172148
75,-187.840453,205.219470,414.529645,-34.350338,37.528435,75.804936
76,16.173088,4.701815,24.965090,3.458163,1.005352,5.338087
77,6.441280,10.918564,18.452016,1.417778,2.403265,4.061439
78,3047.652915,5007.410884,3157.624787,527.175098,866.168950,546.197748
79,-55.113797,-67.465261,12.226342,-11.916452,-14.587029,2.643524
80,14.788253,13.606649,10.641274,4.473028,4.115627,3.218685
81,-38.488448,154.185239,79.471291,-7.774146,31.143333,16.052126
82,73.656262,-20.235900,79.612622,18.965379,-5.210440,20.499052
83,-19.308721,10.531845,-14.073261,-3.972391,2.166721,-2.895298
84,-6.125250,44.707307,-6.342246,-1.252022,9.138325,-1.296377
85,28.082405,-55.985694,52.570286,5.724308,-11.412105,10.715909
86,48.991293,24.264427,56.457269,8.031323,3.977757,9.255247
